date,temperature,precipitation,days_to_maturity,rain_to_maturity,viable
2021-05-26,12.7962,0.0033,241,437.5156,0
2021-05-27,13.2471,0.0253,240,437.4922,0
2021-05-28,14.1270,0.0005,240,441.6914,0
2021-05-29,14.0159,0.0000,239,441.6914,0
2021-05-30,14.2206,0.0000,239,445.6992,0
2021-05-31,15.1611,0.0634,239,460.1758,0
2021-06-01,17.1656,0.7424,238,459.4336,0
2021-06-02,17.0669,2.2411,238,459.4922,0
2021-06-03,16.5802,2.3255,238,460.3750,0
2021-06-04,16.0063,1.2169,238,470.5000,0
2021-06-05,13.5626,1.3771,237,469.1211,0
2021-06-06,12.5728,0.1483,237,486.4141,0
2021-06-07,13.5523,0.2728,236,486.1406,0
2021-06-08,13.7657,0.0196,236,500.8320,0
2021-06-09,13.2691,0.2537,235,500.5781,0
2021-06-10,13.4415,0.0010,235,501.3242,0
2021-06-11,13.7578,0.1040,234,501.2188,0
2021-06-12,12.7378,0.0114,234,503.6797,0
2021-06-13,13.0162,0.0000,233,503.6797,0
2021-06-14,13.4133,0.0000,233,506.7383,0
2021-06-15,13.3347,0.0000,232,506.7383,0
2021-06-16,12.6788,0.0000,232,524.7422,0
2021-06-17,13.5234,0.0000,231,524.7422,0
2021-06-18,14.1379,0.0415,231,532.7148,0
2021-06-19,13.4406,1.3647,230,531.3516,0
2021-06-20,12.7053,0.5941,229,530.7578,0
2021-06-21,13.1723,0.1106,229,543.7422,0
2021-06-22,14.1095,0.9117,228,542.8320,0
2021-06-23,13.2879,0.4897,228,571.5391,0
2021-06-24,13.2761,0.2928,228,639.5000,0
2021-06-25,13.8029,0.0582,227,639.4414,0
2021-06-26,13.8130,0.0005,227,646.9023,0
2021-06-27,13.6054,0.0000,226,646.9023,0
2021-06-28,13.9229,0.0000,226,659.6484,0
2021-06-29,13.6877,0.0000,225,659.6484,0
2021-06-30,14.2907,0.0000,225,678.1367,0
2021-07-01,14.8076,0.0000,224,678.1367,0
2021-07-02,14.0165,0.0000,224,692.3711,0
2021-07-03,13.0305,0.0000,224,708.0586,0
2021-07-04,12.6499,0.0000,223,708.0586,0
2021-07-05,13.7076,0.0000,223,724.1719,0
2021-07-06,13.8865,0.0772,222,724.0938,0
2021-07-07,13.0233,0.8216,222,751.0898,0
2021-07-08,12.0043,0.2074,221,750.8828,0
2021-07-09,12.0803,0.0000,221,796.3789,0
2021-07-10,12.2538,0.1454,220,796.2344,0
2021-07-11,13.1182,2.2798,220,810.0703,0
2021-07-12,13.9658,1.9627,219,808.1094,0
2021-07-13,14.6425,0.8993,219,816.7148,0
2021-07-14,15.1607,0.7348,218,815.9805,0
2021-07-15,14.1766,1.6785,218,829.0117,0
2021-07-16,14.1918,0.1426,218,831.5117,0
2021-07-17,12.7238,0.0324,217,831.4805,0
2021-07-18,12.7721,0.0491,217,838.3672,0
2021-07-19,12.3884,0.2608,216,838.1055,0
2021-07-20,13.0934,0.0348,215,838.0703,0
2021-07-21,14.4269,0.0000,215,852.5977,0
2021-07-22,15.2696,0.0477,214,852.5508,0
2021-07-23,15.7903,0.2742,214,877.8750,0
2021-07-24,12.1165,2.3923,214,890.0781,0
2021-07-25,10.7935,0.3524,213,889.7266,0
2021-07-26,10.9763,0.9031,212,888.8242,0
2021-07-27,11.4427,0.1507,212,899.4336,0
2021-07-28,11.5629,0.0005,211,899.4336,0
2021-07-29,12.2429,0.0000,210,899.4336,0
2021-07-30,13.3537,0.0062,210,906.6328,0
2021-07-31,14.1014,0.5927,209,906.0391,0
2021-08-01,13.8765,0.5083,209,923.6406,0
2021-08-02,14.0575,0.6537,208,922.9883,0
2021-08-03,13.9726,0.0367,208,938.3125,0
2021-08-04,13.4224,0.0038,208,949.7383,0
2021-08-05,13.6228,0.0620,207,949.6758,0
2021-08-06,14.1430,0.0968,207,963.7617,0
2021-08-07,14.6685,0.0000,206,963.7617,0
2021-08-08,14.4932,0.0000,206,977.1367,0
2021-08-09,15.7876,0.0000,205,977.1367,0
2021-08-10,16.0546,0.0000,205,989.8398,0
2021-08-11,14.1259,0.0014,205,1001.3711,0
2021-08-12,13.9755,0.0000,204,1001.3711,0
2021-08-13,15.1638,0.0000,204,1003.6758,0
2021-08-14,15.5564,0.0038,203,1003.6719,0
2021-08-15,14.5222,0.3700,203,1007.2539,0
2021-08-16,14.5190,1.1258,203,1014.2422,0
2021-08-17,15.2208,0.2108,202,1014.0312,0
2021-08-18,15.5155,0.0038,202,1023.3477,0
2021-08-19,15.9809,0.0000,201,1023.3477,0
2021-08-20,16.8488,0.0272,201,1026.7266,0
2021-08-21,17.7775,0.0024,201,1042.2344,0
2021-08-22,18.4267,0.1583,201,1055.1016,0
2021-08-23,18.3536,0.4535,201,1066.8711,0
2021-08-24,17.9521,0.1807,201,1069.6328,0
2021-08-25,17.5980,0.0000,200,1069.6328,0
2021-08-26,17.9055,0.0000,200,1070.5234,0
2021-08-27,18.2356,0.0000,200,1082.4531,0
2021-08-28,18.5333,0.0172,200,1094.6992,0
2021-08-29,19.1805,0.0000,200,1106.2031,0
2021-08-30,16.4759,0.0005,200,1112.9062,0
2021-08-31,17.0084,0.0000,200,1118.4844,0
2021-09-01,17.8385,0.0000,199,1118.4844,0
2021-09-02,18.2132,0.0982,199,1133.7539,0
2021-09-03,17.8322,0.0272,199,1137.8789,0
2021-09-04,17.2839,0.0086,199,1140.3594,0
2021-09-05,16.7853,0.0005,199,1146.3359,0
2021-09-06,16.6917,0.5774,199,1151.9414,0
2021-09-07,17.2978,0.2098,199,1153.0977,0
2021-09-08,17.9918,0.0124,199,1154.0508,0
2021-09-09,18.0070,0.0186,198,1154.0312,0
2021-09-10,16.9676,0.8798,198,1158.4492,0
2021-09-11,15.2751,2.6269,198,1158.7695,0
2021-09-12,16.4690,0.1712,198,1164.5430,0
2021-09-13,17.2257,0.1736,197,1164.3711,0
2021-09-14,18.0525,0.7162,197,1169.7227,0
2021-09-15,18.3096,0.0310,197,1177.9375,0
2021-09-16,19.3055,0.0010,197,1179.3594,0
2021-09-17,19.8646,0.1125,197,1183.3398,0
2021-09-18,19.4349,0.0019,197,1188.1680,0
2021-09-19,16.5773,1.7452,197,1201.8359,0
2021-09-20,17.4672,0.7539,197,1215.3203,0
2021-09-21,18.6187,0.0000,197,1228.0664,0
2021-09-22,18.9456,0.0000,197,1237.6016,0
2021-09-23,17.4093,1.5864,197,1244.4258,0
2021-09-24,17.6176,0.9999,196,1243.4258,0
2021-09-25,17.9431,0.5813,196,1247.0547,0
2021-09-26,19.1585,0.0291,196,1253.3086,0
2021-09-27,20.0793,0.0000,196,1253.5977,0
2021-09-28,20.4103,0.1116,196,1254.6016,0
2021-09-29,21.0396,0.2370,197,1259.0352,0
2021-09-30,20.6057,0.0000,197,1260.3789,0
2021-10-01,20.0277,0.1087,197,1263.5586,0
2021-10-02,20.2703,0.0901,197,1265.1758,0
2021-10-03,21.3884,1.3642,197,1267.7930,0
2021-10-04,21.0177,0.9446,197,1268.8828,0
2021-10-05,20.6141,0.4230,197,1270.5664,0
2021-10-06,20.4109,0.0172,197,1272.6484,0
2021-10-07,20.2866,0.0000,198,1275.4453,0
2021-10-08,19.3998,0.0000,198,1276.9141,0
2021-10-09,20.0627,0.0000,198,1278.7461,0
2021-10-10,21.4476,0.0000,198,1287.7969,0
2021-10-11,19.0867,0.6766,198,1295.7969,0
2021-10-12,16.6842,1.7929,198,1295.3828,0
2021-10-13,18.4391,0.8407,199,1296.6953,0
2021-10-14,20.3441,0.6151,199,1296.3555,0
2021-10-15,20.5304,0.2942,199,1296.8867,0
2021-10-16,21.2154,0.2108,200,1298.6211,0
2021-10-17,21.8643,0.4678,201,1299.1055,0
2021-10-18,20.9626,1.6665,201,1297.6250,0
2021-10-19,20.2572,0.0038,202,1297.6875,0
2021-10-20,19.1351,1.1077,202,1296.5781,0
2021-10-21,17.9546,1.6184,203,1295.2070,0
2021-10-22,20.1114,0.4215,203,1294.8125,0
2021-10-23,21.8856,0.1068,203,1294.7773,0
2021-10-24,22.9176,0.2775,204,1295.8281,0
2021-10-25,22.0008,0.0000,205,1296.8711,0
2021-10-26,20.9511,3.9053,206,1293.6602,0
2021-10-27,20.8304,0.8860,207,1293.1016,0
2021-10-28,18.7543,5.9695,207,1287.5859,0
2021-10-29,19.8258,0.2341,207,1287.3672,0
2021-10-30,21.2860,0.0191,207,1287.8203,0
2021-10-31,21.8678,2.3856,208,1286.2852,0
2021-11-01,22.1959,1.7452,209,1284.5391,0
2021-11-02,22.5118,0.0329,210,1285.8906,0
2021-11-03,22.8217,0.2575,211,1286.8359,0
2021-11-04,23.1203,0.5603,213,1287.6289,0
2021-11-05,23.1548,0.0000,215,1288.4258,0
2021-11-06,23.4434,0.0000,217,1289.9922,0
2021-11-07,23.3254,0.0000,218,1290.0352,0
2021-11-08,23.2527,0.0000,220,1290.9023,0
2021-11-09,23.7068,0.0000,221,1291.6133,0
2021-11-10,23.0639,0.7291,222,1290.9062,0
2021-11-11,23.3377,0.0687,224,1291.0273,0
2021-11-12,23.4275,0.3452,226,1292.1367,0
2021-11-13,23.3370,0.0005,229,1300.0117,0
2021-11-14,22.5148,0.1054,231,1301.4180,0
2021-11-15,22.0388,0.1736,232,1301.7695,0
2021-11-16,21.5328,0.2537,234,1303.8789,0
2021-11-17,22.4006,0.3219,236,1307.0391,0
2021-11-18,22.8910,0.2208,238,1308.3555,0
2021-11-19,22.7121,1.4811,239,1307.1328,0
2021-11-20,23.4683,0.1945,241,1308.8984,0
2021-11-21,23.0849,0.1116,242,1308.8438,0
2021-11-22,23.2172,0.0000,244,1309.8438,0
2021-11-23,23.5402,0.1979,245,1311.2305,0
2021-11-24,24.6295,0.2046,247,1312.0859,0
2021-11-25,21.1876,5.3253,249,1307.0273,0
2021-11-26,18.5542,5.4846,250,1303.7109,0
2021-11-27,18.6453,3.1042,251,1301.3711,0
2021-11-28,19.3701,1.0848,251,1300.2852,0
2021-11-29,21.4671,0.2751,252,1300.0117,0
2021-11-30,22.5040,0.7224,253,1299.2891,0
2021-12-01,22.3434,0.7577,254,1299.0000,0
2021-12-02,21.7861,0.6094,255,1298.6289,0
2021-12-03,22.0002,0.2050,256,1298.4297,0
2021-12-04,21.8787,0.1583,256,1298.4961,0
2021-12-05,22.4817,0.5498,257,1297.9453,0
2021-12-06,22.3721,0.1998,257,1298.0234,0
2021-12-07,22.3692,0.2184,258,1300.4727,0
2021-12-08,22.7646,0.0739,259,1303.7383,0
2021-12-09,22.8819,0.0906,260,1304.6172,0
2021-12-10,22.8557,0.1655,261,1304.7500,0
2021-12-11,21.7635,0.0854,262,1304.7188,0
2021-12-12,22.1038,0.1173,263,1306.0820,0
2021-12-13,22.2114,0.1044,264,1306.0312,0
2021-12-14,22.3285,0.3662,265,1305.6641,0
2021-12-15,23.1111,0.0010,266,1305.7500,0
2021-12-16,22.6196,0.5879,266,1306.9688,1
2021-12-17,22.8779,4.1189,267,1303.1406,1
2021-12-18,19.9222,10.7608,268,1292.4297,1
2021-12-19,18.0548,16.4742,268,1275.9570,0
2021-12-20,19.3654,8.2531,268,1268.0469,0
2021-12-21,19.5526,4.6730,268,1264.0820,0
2021-12-22,20.9499,1.7495,269,1263.3867,0
2021-12-23,22.3687,0.2961,269,1263.0898,0
2021-12-24,23.5615,0.3281,270,1262.7617,0
2021-12-25,22.8571,0.1049,270,1262.6602,0
2021-12-26,23.0601,0.0114,271,1262.6523,0
2021-12-27,23.0109,0.0048,271,1262.8125,0
